Date,AppleClose,QQQClose
3/10/99,44.6282,0.2512
3/11/99,44.8468,0.2483
3/12/99,43.754,0.256
3/15/99,45.0216,0.2628
3/16/99,45.415,0.2739
3/17/99,45.0653,0.2628
3/18/99,45.9395,0.2739
3/19/99,44.7594,0.2584
3/22/99,44.2348,0.2705
3/23/99,42.6744,0.2546
3/24/99,44.1037,0.2599
3/25/99,45.721,0.2608
3/26/99,45.2402,0.2565
3/29/99,46.9012,0.2729
3/30/99,46.5515,0.2768
3/31/99,45.8521,0.2773
4/1/99,46.8137,0.2782
4/5/99,48.5184,0.2859
4/6/99,48.6059,0.2932
4/7/99,48.125,0.2864
4/8/99,48.4747,0.2845
4/9/99,48.7807,0.2835
4/12/99,48.4747,0.2797
4/13/99,47.8191,0.2672
4/14/99,46.1581,0.2741
4/15/99,46.8137,0.2758
4/16/99,45.415,0.2734
4/19/99,43.2994,0.2614
4/20/99,44.2785,0.2628
4/21/99,46.4641,0.2652
4/22/99,47.7317,0.2807
4/23/99,48.3436,0.3023
4/26/99,49.4801,0.3158
4/27/99,48.6933,0.3529
4/28/99,47.0323,0.3399
4/29/99,46.6826,0.3317
4/30/99,46.9449,0.3549
5/3/99,46.7263,0.3823
5/4/99,45.9832,0.3587
5/5/99,47.382,0.3626
5/6/99,45.6336,0.3433
5/7/99,46.2892,0.3539
5/10/99,46.77,0.3491
5/11/99,47.5131,0.3452
5/12/99,48.4747,0.3587
5/13/99,47.6005,0.3563
5/14/99,46.6826,0.3424
5/17/99,47.5131,0.3424
5/18/99,47.3383,0.3491
5/19/99,47.9939,0.3486
5/20/99,46.6389,0.3279
5/21/99,46.2455,0.339
5/24/99,45.0653,0.3235
5/25/99,43.5748,0.3202
5/26/99,44.8031,0.3399
5/27/99,44.7594,0.3356
5/28/99,45.5024,0.3399
6/1/99,44.4971,0.3457
6/2/99,45.2402,0.3592
6/3/99,44.5845,0.366
6/4/99,45.9395,0.3713
6/7/99,46.9012,0.3776
6/8/99,45.721,0.3679
6/9/99,46.5078,0.3737
6/10/99,45.9832,0.3713
6/11/99,45.0653,0.3583
6/14/99,44.4097,0.3506
6/15/99,45.0653,0.3553
6/16/99,47.382,0.3698
6/17/99,47.9065,0.3578
6/18/99,48.125,0.3636
6/21/99,49.5675,0.3587
6/22/99,48.0813,0.3501
6/23/99,48.8244,0.3371
6/24/99,47.8628,0.3264
6/25/99,47.8191,0.3255
6/28/99,48.9555,0.3283
6/29/99,49.6112,0.3501
6/30/99,50.398,0.3573
7/1/99,50.704,0.3495
7/2/99,51.3596,0.3573
7/6/99,51.0536,0.3655
7/7/99,51.0973,0.3848
7/8/99,51.7967,0.4204
7/9/99,52.3212,0.4292
7/12/99,52.059,0.4204
7/13/99,51.7967,0.4142
7/14/99,52.6709,0.4316
7/15/99,53.1517,0.4108
7/16/99,53.6763,0.4093
7/19/99,53.108,0.42
7/20/99,51.0536,0.4079
7/21/99,51.3159,0.4171
7/22/99,50.0046,0.4041
7/23/99,50.092,0.4113
7/26/99,48.8681,0.393
7/27/99,49.8297,0.4142
7/28/99,50.7914,0.4195
7/29/99,49.7423,0.4157
7/30/99,49.4801,0.4296
8/2/99,49.3489,0.4301
8/3/99,48.9993,0.4262
8/4/99,48.125,0.4151
8/5/99,48.9118,0.4224
8/6/99,48.3873,0.4176
8/9/99,47.7317,0.42
8/10/99,47.3383,0.4272
8/11/99,48.8681,0.4605
8/12/99,48.2999,0.4629
8/13/99,50.398,0.4633
8/16/99,50.7914,0.4667
8/17/99,51.0536,0.4653
8/18/99,50.4854,0.4639
8/19/99,50.0046,0.4532
8/20/99,50.4417,0.4566
8/23/99,52.2775,0.4687
8/24/99,52.8895,0.4658
8/25/99,53.7637,0.4735
8/26/99,52.8895,0.4793
8/27/99,52.3649,0.4995
8/30/99,51.6219,0.4788
8/31/99,52.1901,0.5034
9/1/99,52.5398,0.5294
9/2/99,52.3649,0.5443
9/3/99,54.769,0.567
9/7/99,54.5505,0.5892
9/8/99,53.8074,0.5747
9/9/99,54.5505,0.5829
9/10/99,55.2061,0.5974
9/13/99,54.5068,0.5786
9/14/99,54.8127,0.6003
9/15/99,53.7637,0.5814
9/16/99,53.72,0.5926
9/17/99,55.3372,0.5936
9/20/99,55.4684,0.6099
9/21/99,54.1571,0.5342
9/22/99,54.7253,0.5424
9/23/99,52.4524,0.4884
9/24/99,52.5398,0.501
9/27/99,52.8895,0.473
9/28/99,53.1517,0.46
9/29/99,52.059,0.4556
9/30/99,52.6272,0.4884
10/1/99,52.6272,0.4761
10/4/99,53.8074,0.4981
10/5/99,54.2008,0.5241
10/6/99,55.2935,0.5183
10/7/99,55.1624,0.512
10/8/99,55.7306,0.5058
10/11/99,56.5174,0.5145
10/12/99,55.2498,0.5222
10/13/99,53.5888,0.494
10/14/99,53.9385,0.5646
10/15/99,52.3649,0.5752
10/18/99,51.6656,0.5651
10/19/99,51.9716,0.5284
10/20/99,53.5451,0.5795
10/21/99,54.4193,0.5872
10/22/99,54.1571,0.5704
10/25/99,54.2008,0.5747
10/26/99,53.7637,0.5791
10/27/99,53.6763,0.5892
10/28/99,55.5558,0.6007
10/29/99,57.4791,0.6181
11/1/99,57.1731,0.5988
11/2/99,57.2168,0.6191
11/3/99,58.3533,0.6287
11/4/99,59.0089,0.6451
11/5/99,59.6209,0.6813
11/8/99,60.801,0.7435
11/9/99,60.4076,0.6914
11/10/99,61.1944,0.7054
11/11/99,62.2872,0.7117
11/12/99,63.1177,0.6991
11/15/99,62.9866,0.69
11/16/99,64.6038,0.7035
11/17/99,63.7296,0.6962
11/18/99,65.6529,0.6914
11/19/99,66.2648,0.7131
11/22/99,65.2595,0.6991
11/23/99,65.5217,0.716
11/24/99,67.7073,0.7305
11/26/99,67.9258,0.7333
11/29/99,66.7893,0.7295
11/30/99,64.6913,0.755
12/1/99,65.6529,0.7951
12/2/99,67.751,0.8501
12/3/99,69.1934,0.8872
12/6/99,69.8054,0.8949
12/7/99,69.8054,0.9089
12/8/99,68.9749,0.8491
12/9/99,69.2808,0.812
12/10/99,69.8491,0.7946
12/13/99,70.8107,0.7637
12/14/99,69.5431,0.7319
12/15/99,70.8544,0.7483
12/16/99,72.6028,0.7584
12/17/99,73.241,0.7715
12/20/99,74.2201,0.756
12/21/99,78.1977,0.7907
