Date,Close, Volume, Open, High, Low
9/8/15,517.54,3805809,508.69,518.35,508.51
9/9/15,516.89,4348685,524.00,529.95,515.06
9/10/15,522.24,2568076,515.15,526.13,514.78
9/11/15,529.44,3224850,521.07,529.44,520.61
9/14/15,521.38,3127206,529.44,532.45,518.58
9/15/15,522.37,2849063,523.25,527.92,517.20
9/16/15,527.39,2249062,521.98,528.30,518.52
9/17/15,538.87,4146066,526.98,546.97,526.57
9/18/15,540.26,6154510,534.62,546.24,531.35
9/21/15,548.39,3276266,544.33,549.78,539.59
9/22/15,538.40,3833073,539.71,543.55,532.66
9/23/15,536.07,2233675,538.30,541.21,534.00
9/24/15,533.75,3494202,530.55,534.56,522.87
9/25/15,524.25,3922075,542.57,542.80,521.40
9/28/15,504.06,5416847,520.02,520.28,494.33
9/29/15,496.07,4455453,506.00,511.48,490.50
9/30/15,511.89,3996159,505.44,512.80,501.67
10/1/15,520.72,3744188,511.00,520.80,506.00
10/2/15,532.54,4592095,512.99,532.60,508.10
10/5/15,543.68,3383967,536.99,545.91,536.00
10/6/15,537.48,4541673,545.50,551.50,533.33
10/7/15,541.94,3807102,541.79,542.00,529.00
10/8/15,533.16,4666489,536.71,539.39,519.89
10/9/15,539.80,3533043,534.48,541.79,530.27
10/12/15,550.19,2772781,539.96,550.82,539.80
10/13/15,548.90,2933013,546.26,553.20,543.10
10/14/15,544.83,3573734,551.34,552.25,539.68
10/15/15,562.44,4927031,547.75,563.00,547.00
10/16/15,570.76,4307995,565.27,570.94,560.31
10/19/15,573.15,4342881,570.76,579.00,567.38
10/20/15,560.88,4341325,572.00,573.00,555.28
10/21/15,555.77,3354070,563.87,565.25,552.52
10/22/15,563.91,7586947,562.70,569.15,556.67
10/23/15,599.03,10682230,617.68,619.45,595.36
10/26/15,608.61,4266364,602.30,609.85,596.29
10/27/15,611.01,3740923,608.60,614.71,605.53
10/28/15,617.10,3916263,612.30,617.23,609.50
10/29/15,626.55,3861249,617.70,627.54,615.39
10/30/15,625.90,3871136,626.01,630.72,625.28
11/2/15,628.35,2811340,627.13,628.63,620.41
11/3/15,625.31,3244640,629.53,629.89,622.00
11/4/15,640.95,4836452,627.76,645.93,627.35
11/5/15,655.65,4721977,647.10,657.00,643.09
11/6/15,659.37,4088119,655.00,662.26,652.00
11/9/15,655.49,4042991,658.65,661.96,647.85
11/10/15,659.68,3478282,651.01,660.00,647.26
11/11/15,673.25,5378403,663.25,675.96,663.25
11/12/15,665.60,4267454,673.00,675.64,664.22
11/13/15,642.35,6242100,663.57,667.00,640.45
11/16/15,647.81,7425083,640.92,649.99,622.29
11/17/15,643.30,4317848,650.65,653.25,641.00
11/18/15,663.54,4414554,646.51,664.88,646.37
11/19/15,661.27,4702856,664.99,672.86,659.00
11/20/15,668.45,3872690,667.94,668.87,657.57
11/23/15,678.99,4377862,671.50,682.77,668.45
11/24/15,671.15,4536359,674.14,675.80,661.21
11/25/15,675.34,2690424,675.00,679.70,671.24
11/27/15,673.26,1966801,680.80,680.99,672.10
11/30/15,664.80,5492054,675.90,681.29,664.60
12/1/15,679.06,4747651,673.75,681.00,667.86
12/2/15,676.01,4265404,681.00,684.82,674.25
12/3/15,666.25,5058428,679.44,682.79,661.48
12/4/15,672.64,4532424,666.00,674.78,661.40
12/7/15,669.83,3730440,674.74,675.46,660.50
12/8/15,677.33,3646397,663.13,679.99,659.79
12/9/15,664.79,5150488,678.00,679.00,655.68
12/10/15,662.32,3446523,665.59,668.53,659.56
12/11/15,640.15,5459737,651.23,657.88,639.62
12/14/15,657.91,4340805,641.75,658.59,635.27
12/15/15,658.64,4743133,665.03,671.50,657.35
12/16/15,675.77,3955385,663.56,677.35,659.32
12/17/15,670.65,3672133,680.00,682.50,670.65
12/18/15,664.14,6817065,668.65,676.84,664.13
12/21/15,664.51,3219507,668.50,669.90,658.93
12/22/15,663.15,2666245,666.83,668.49,659.26
12/23/15,663.70,2717739,666.50,666.60,656.63
12/24/15,662.79,1092970,663.35,664.68,660.60
12/28/15,675.20,3778019,665.56,675.50,665.50
12/29/15,693.97,5729914,677.98,696.44,677.89
12/30/15,689.07,3515318,691.89,695.49,686.38
12/31/15,675.89,3745197,686.08,687.75,675.89
1/4/16,636.99,9301459,656.29,657.72,627.51
1/5/16,633.79,5814063,646.86,646.91,627.65
1/6/16,632.65,5319526,622.00,639.79,620.31
1/7/16,607.94,7040886,621.80,630.00,605.21
1/8/16,607.05,5502757,619.66,624.14,606.00
1/11/16,617.74,4874135,612.48,619.85,598.57
1/12/16,617.89,4705651,625.25,625.99,612.24
1/13/16,581.81,7643288,620.88,620.88,579.16
1/14/16,593.00,7225454,580.25,602.25,569.88
1/15/16,570.18,7776868,572.24,584.62,565.30
1/19/16,574.48,4801408,577.09,584.00,566.45
1/20/16,571.77,7957643,564.36,578.45,547.18
1/21/16,575.02,4937346,573.58,588.81,568.22
1/22/16,596.38,5104594,588.73,600.10,584.11
1/25/16,596.53,4386098,597.99,608.50,594.56
1/26/16,601.25,3755042,603.45,604.50,590.38
1/27/16,583.35,5103760,601.99,603.39,578.78
1/28/16,635.35,13639700,608.37,638.06,597.55
1/29/16,587.00,14666690,571.98,593.00,570.00
2/1/16,574.81,6337926,578.15,581.80,570.31
2/2/16,552.10,6297634,570.00,571.56,550.09
2/3/16,531.07,10043300,553.50,556.00,521.90
2/4/16,536.26,6190328,525.00,538.99,519.22
2/5/16,502.13,9683685,529.28,529.45,499.19
2/8/16,488.10,9816331,486.47,493.50,475.21
2/9/16,482.07,7055921,478.01,498.38,474.00
2/10/16,490.48,6763135,491.76,504.66,486.00
2/11/16,503.82,7390411,491.17,509.30,484.00
2/12/16,507.08,5371180,510.70,516.75,501.49
2/16/16,521.10,5112648,519.48,524.45,511.66
2/17/16,534.10,4820780,528.74,537.48,519.39
2/18/16,525.00,4733213,541.19,541.20,523.73
2/19/16,534.90,4972834,520.71,535.95,515.35
2/22/16,559.50,5555615,542.20,560.65,541.08
2/23/16,552.94,4046481,555.55,556.91,545.33
2/24/16,554.04,6222914,545.75,554.27,533.15
2/25/16,555.15,4521887,555.52,559.39,545.29
2/26/16,555.23,4870280,560.12,562.50,553.17
2/29/16,552.52,4140465,554.00,564.81,552.51
3/1/16,579.04,5024654,556.29,579.25,556.00
3/2/16,580.21,4579461,581.75,585.00,573.70
3/3/16,577.49,2737763,577.96,579.87,573.11
3/4/16,575.14,3413742,581.07,581.40,571.07
3/7/16,562.80,4928519,573.54,573.63,555.55
3/8/16,560.26,4727151,557.87,571.35,554.74
3/9/16,559.47,4374825,559.56,560.35,550.13
3/10/16,558.93,3917562,566.74,567.00,547.90
3/11/16,569.61,3769218,566.95,570.06,562.73
3/14/16,573.37,3453040,567.00,576.89,563.05
3/15/16,577.02,3870822,571.00,581.52,567.00
3/16/16,574.27,3515329,576.64,581.32,571.14
